"","data","bolha"
"1",2002-07-15,0
"2",2002-08-15,0
"3",2002-09-15,0
"4",2002-10-15,0
"5",2002-11-15,0
"6",2002-12-15,0
"7",2003-01-15,0
"8",2003-02-15,0
"9",2003-03-15,0
"10",2003-04-15,0
"11",2003-05-15,0
"12",2003-06-15,0
"13",2003-07-15,0
"14",2003-08-15,0
"15",2003-09-15,0
"16",2003-10-15,0
"17",2003-11-15,0
"18",2003-12-15,0
"19",2004-01-15,0
"20",2004-02-15,0
"21",2004-03-15,0
"22",2004-04-15,0
"23",2004-05-15,0
"24",2004-06-15,0
"25",2004-07-15,0
"26",2004-08-15,0
"27",2004-09-15,0
"28",2004-10-15,0
"29",2004-11-15,0
"30",2004-12-15,0
"31",2005-01-15,0
"32",2005-02-15,0
"33",2005-03-15,0
"34",2005-04-15,0
"35",2005-05-15,0
"36",2005-06-15,0
"37",2005-07-15,0
"38",2005-08-15,0
"39",2005-09-15,0
"40",2005-10-15,0
"41",2005-11-15,0
"42",2005-12-15,0
"43",2006-01-15,0
"44",2006-02-15,0
"45",2006-03-15,0
"46",2006-04-15,0
"47",2006-05-15,0
"48",2006-06-15,0
"49",2006-07-15,0
"50",2006-08-15,0
"51",2006-09-15,0
"52",2006-10-15,0
"53",2006-11-15,0
"54",2006-12-15,0
"55",2007-01-15,0
"56",2007-02-15,0
"57",2007-03-15,0
"58",2007-04-15,0
"59",2007-05-15,0
"60",2007-06-15,0
"61",2007-07-15,0
"62",2007-08-15,0
"63",2007-09-15,0
"64",2007-10-15,0
"65",2007-11-15,0
"66",2007-12-15,0
"67",2008-01-15,0
"68",2008-02-15,0
"69",2008-03-15,0
"70",2008-04-15,0
"71",2008-05-15,1
"72",2008-06-15,1
"73",2008-07-15,1
"74",2008-08-15,0
"75",2008-09-15,0
"76",2008-10-15,0
"77",2008-11-15,0
"78",2008-12-15,0
"79",2009-01-15,0
"80",2009-02-15,0
"81",2009-03-15,0
"82",2009-04-15,0
"83",2009-05-15,0
"84",2009-06-15,0
"85",2009-07-15,0
"86",2009-08-15,0
"87",2009-09-15,0
"88",2009-10-15,0
"89",2009-11-15,0
"90",2009-12-15,0
"91",2010-01-15,0
"92",2010-02-15,0
"93",2010-03-15,0
"94",2010-04-15,0
"95",2010-05-15,0
"96",2010-06-15,0
"97",2010-07-15,0
"98",2010-08-15,0
"99",2010-09-15,0
"100",2010-10-15,0
"101",2010-11-15,0
"102",2010-12-15,0
"103",2011-01-15,0
"104",2011-02-15,0
"105",2011-03-15,0
"106",2011-04-15,0
"107",2011-05-15,0
"108",2011-06-15,0
"109",2011-07-15,0
"110",2011-08-15,0
"111",2011-09-15,0
"112",2011-10-15,0
"113",2011-11-15,0
"114",2011-12-15,0
"115",2012-01-15,0
"116",2012-02-15,0
"117",2012-03-15,0
"118",2012-04-15,0
"119",2012-05-15,0
"120",2012-06-15,0
"121",2012-07-15,0
"122",2012-08-15,0
"123",2012-09-15,0
"124",2012-10-15,0
"125",2012-11-15,0
"126",2012-12-15,0
"127",2013-01-15,0
"128",2013-02-15,0
"129",2013-03-15,0
"130",2013-04-15,0
"131",2013-05-15,0
"132",2013-06-15,0
"133",2013-07-15,0
"134",2013-08-15,0
"135",2013-09-15,0
"136",2013-10-15,0
"137",2013-11-15,0
"138",2013-12-15,0
"139",2014-01-15,0
"140",2014-02-15,0
"141",2014-03-15,0
"142",2014-04-15,0
"143",2014-05-15,0
"144",2014-06-15,0
"145",2014-07-15,0
"146",2014-08-15,0
"147",2014-09-15,0
"148",2014-10-15,0
"149",2014-11-15,0
"150",2014-12-15,1
"151",2015-01-15,1
"152",2015-02-15,1
"153",2015-03-15,1
"154",2015-04-15,0
"155",2015-05-15,0
"156",2015-06-15,0
"157",2015-07-15,0
"158",2015-08-15,0
"159",2015-09-15,0
"160",2015-10-15,0
"161",2015-11-15,0
"162",2015-12-15,1
"163",2016-01-15,1
"164",2016-02-15,1
"165",2016-03-15,0
"166",2016-04-15,0
"167",2016-05-15,0
"168",2016-06-15,0
"169",2016-07-15,0
"170",2016-08-15,0
"171",2016-09-15,0
"172",2016-10-15,0
"173",2016-11-15,0
"174",2016-12-15,0
"175",2017-01-15,0
"176",2017-02-15,0
"177",2017-03-15,0
"178",2017-04-15,0
"179",2017-05-15,0
"180",2017-06-15,0
"181",2017-07-15,0
"182",2017-08-15,0
"183",2017-09-15,0
"184",2017-10-15,0
"185",2017-11-15,0
"186",2017-12-15,0
"187",2018-01-15,0
"188",2018-02-15,0
"189",2018-03-15,0
"190",2018-04-15,0
"191",2018-05-15,0
"192",2018-06-15,0
"193",2018-07-15,0
"194",2018-08-15,0
"195",2018-09-15,0
"196",2018-10-15,0
"197",2018-11-15,0
"198",2018-12-15,0
"199",2019-01-15,0
"200",2019-02-15,0
"201",2019-03-15,0
"202",2019-04-15,0
"203",2019-05-15,0
"204",2019-06-15,0
"205",2019-07-15,0
"206",2019-08-15,0
"207",2019-09-15,0
"208",2019-10-15,0
"209",2019-11-15,0
"210",2019-12-15,0
"211",2020-01-15,0
"212",2020-02-15,0
"213",2020-03-15,0
"214",2020-04-15,1
"215",2020-05-15,0
"216",2020-06-15,0
"217",2020-07-15,0
"218",2020-08-15,0
"219",2020-09-15,0
"220",2020-10-15,0
"221",2020-11-15,0
"222",2020-12-15,0
"223",2021-01-15,0
